installation_type,vessel_name,start_date,end_date,installation time,windfarm_name,,,
turbine,Wind Osprey,3/31/2014 14:03,4/3/2014 12:00,,DanTysk,,,
turbine,Wind Osprey,4/6/2014 14:00,4/10/2014 14:01,,DanTysk,,,
turbine,Wind Osprey,4/10/2014 15:00,4/11/2014 10:00,,DanTysk,,,
turbine,Wind Osprey,4/11/2014 12:00,4/16/2014 5:08,,DanTysk,,,
turbine,Wind Osprey,4/16/2014 6:08,4/19/2014 12:02,,DanTysk,,,
turbine,Wind Osprey,4/19/2014 15:05,4/23/2014 5:17,,DanTysk,,,
turbine,Wind Osprey,4/23/2014 7:02,4/24/2014 16:07,,DanTysk,,,
turbine,Wind Osprey,4/24/2014 18:08,4/25/2014 14:07,,DanTysk,,,
turbine,Wind Osprey,4/29/2014 3:00,5/2/2014 18:00,,DanTysk,,,
turbine,Wind Osprey,5/2/2014 19:00,5/4/2014 14:00,,DanTysk,,,
turbine,Wind Osprey,5/4/2014 16:00,5/5/2014 21:01,,DanTysk,,,
turbine,Wind Osprey,5/5/2014 23:00,5/7/2014 4:00,,DanTysk,,,
turbine,Wind Osprey,5/7/2014 6:48,5/7/2014 23:00,,DanTysk,,,
turbine,Wind Osprey,5/8/2014 1:00,5/8/2014 23:00,,DanTysk,,,
turbine,Wind Osprey,5/9/2014 2:01,5/15/2014 13:48,,DanTysk,,,
turbine,Wind Osprey,5/15/2014 17:29,5/16/2014 15:07,,DanTysk,,,
turbine,Wind Osprey,5/16/2014 18:00,5/17/2014 14:12,,DanTysk,,,
turbine,Wind Osprey,5/21/2014 4:32,5/21/2014 13:30,,DanTysk,,,
turbine,Wind Osprey,5/23/2014 7:53,5/23/2014 21:11,,DanTysk,,,
turbine,Wind Osprey,5/23/2014 23:02,5/24/2014 14:05,,DanTysk,,,
turbine,Wind Osprey,5/24/2014 16:02,5/25/2014 8:00,,DanTysk,,,
turbine,Wind Osprey,5/25/2014 10:00,5/26/2014 3:00,,DanTysk,,,
turbine,Wind Osprey,5/26/2014 5:00,5/29/2014 13:36,,DanTysk,,,
turbine,Wind Osprey,5/30/2014 3:18,5/30/2014 13:42,,DanTysk,,,
turbine,Wind Osprey,6/2/2014 22:02,6/3/2014 14:08,,DanTysk,,,
turbine,Wind Osprey,6/3/2014 16:00,6/4/2014 9:39,,DanTysk,,,
turbine,Wind Osprey,6/4/2014 15:41,6/7/2014 0:19,,DanTysk,,,
turbine,Wind Osprey,6/7/2014 6:24,6/7/2014 20:00,,DanTysk,,,
turbine,Wind Osprey,6/7/2014 22:09,6/8/2014 19:00,,DanTysk,,,
turbine,Wind Osprey,6/8/2014 21:00,6/9/2014 12:01,,DanTysk,,,
turbine,Wind Osprey,6/9/2014 13:09,6/10/2014 23:12,,DanTysk,,,
turbine,Wind Osprey,6/11/2014 0:00,6/12/2014 11:01,,DanTysk,,,
turbine,Wind Osprey,6/12/2014 12:07,6/14/2014 13:04,,DanTysk,,,
turbine,Wind Osprey,6/21/2014 10:00,6/24/2014 8:00,,DanTysk,,,
turbine,Wind Osprey,6/24/2014 9:01,6/25/2014 2:00,,DanTysk,,,
turbine,Wind Osprey,6/25/2014 4:00,6/26/2014 2:00,,DanTysk,,,
turbine,Wind Osprey,6/26/2014 3:00,6/26/2014 21:01,,DanTysk,,,
turbine,Wind Osprey,6/26/2014 23:01,6/27/2014 15:00,,DanTysk,,,
turbine,Wind Osprey,6/27/2014 16:01,6/28/2014 10:00,,DanTysk,,,
turbine,Wind Osprey,6/28/2014 11:02,6/29/2014 5:01,,DanTysk,,,
turbine,Wind Osprey,6/29/2014 7:02,6/29/2014 23:00,,DanTysk,,,
turbine,Wind Osprey,6/30/2014 0:00,6/30/2014 22:53,,DanTysk,,,
turbine,Wind Osprey,7/1/2014 7:00,7/1/2014 16:02,,DanTysk,,,
turbine,Wind Osprey,7/5/2014 8:22,7/6/2014 7:09,,DanTysk,,,
turbine,Wind Osprey,7/6/2014 10:31,7/7/2014 6:30,,DanTysk,,,
turbine,Wind Osprey,7/7/2014 8:01,7/8/2014 0:01,,DanTysk,,,
turbine,Wind Osprey,7/8/2014 3:23,7/10/2014 20:02,,DanTysk,,,
turbine,Wind Osprey,7/10/2014 22:20,7/11/2014 17:17,,DanTysk,,,
turbine,Wind Osprey,7/11/2014 20:04,7/12/2014 10:59,,DanTysk,,,
turbine,Wind Osprey,7/12/2014 12:02,7/13/2014 3:35,,DanTysk,,,
turbine,Wind Osprey,7/13/2014 5:08,7/15/2014 2:17,,DanTysk,,,
turbine,Wind Osprey,7/15/2014 3:09,7/16/2014 2:09,,DanTysk,,,
turbine,Wind Osprey,7/16/2014 3:14,7/16/2014 14:00,,DanTysk,,,
turbine,Wind Osprey,7/19/2014 12:21,7/21/2014 21:01,,DanTysk,,,
turbine,Wind Osprey,7/21/2014 22:04,7/22/2014 15:02,,DanTysk,,,
turbine,Wind Osprey,7/22/2014 16:02,7/23/2014 8:14,,DanTysk,,,
turbine,Wind Osprey,7/23/2014 9:56,7/24/2014 0:02,,DanTysk,,,
turbine,Wind Osprey,7/24/2014 2:44,7/25/2014 5:02,,DanTysk,,,
turbine,Wind Osprey,7/25/2014 9:05,7/26/2014 0:25,,DanTysk,,,
turbine,Wind Osprey,7/26/2014 2:05,7/26/2014 23:18,,DanTysk,,,
turbine,Wind Osprey,7/27/2014 18:16,7/28/2014 13:03,,DanTysk,,,
turbine,Wind Osprey,7/31/2014 17:00,8/1/2014 10:08,,DanTysk,,,
turbine,Wind Osprey,8/1/2014 11:08,8/2/2014 23:48,,DanTysk,,,
turbine,Wind Osprey,8/3/2014 4:28,8/3/2014 14:09,,DanTysk,,,
turbine,Wind Osprey,8/4/2014 9:00,8/4/2014 22:00,,DanTysk,,,
turbine,Wind Osprey,8/4/2014 23:00,8/5/2014 15:01,,DanTysk,,,
turbine,Wind Osprey,8/5/2014 16:00,8/6/2014 11:00,,DanTysk,,,
turbine,Wind Osprey,8/6/2014 12:01,8/7/2014 17:00,,DanTysk,,,
turbine,Wind Osprey,8/7/2014 18:00,8/8/2014 12:01,,DanTysk,,,
turbine,Wind Osprey,8/15/2014 12:00,8/21/2014 14:00,,DanTysk,,,
turbine,Wind Osprey,8/21/2014 15:00,8/22/2014 20:00,,DanTysk,,,
turbine,Wind Osprey,8/22/2014 21:00,8/24/2014 22:00,,DanTysk,,,
turbine,Wind Osprey,8/24/2014 23:00,8/25/2014 14:00,,DanTysk,,,
turbine,Wind Osprey,8/25/2014 16:00,8/26/2014 8:03,,DanTysk,,,
turbine,Wind Osprey,8/26/2014 19:01,8/27/2014 1:00,,DanTysk,,,
turbine,Wind Osprey,9/1/2014 9:06,9/1/2014 23:07,,DanTysk,,,
turbine,Wind Osprey,9/8/2014 13:05,9/8/2014 23:35,,DanTysk,,,
foundation,Wind Osprey,7/1/2015 0:11,7/4/2015 0:02,,Gemini,,,
foundation,Wind Osprey,7/4/2015 1:05,7/6/2015 8:00,,Gemini,,,
foundation,Wind Osprey,7/6/2015 12:59,7/7/2015 13:00,,Gemini,,,
foundation,Wind Osprey,7/10/2015 18:00,7/12/2015 1:01,,Gemini,,,
foundation,Wind Osprey,7/12/2015 3:00,7/13/2015 3:00,,Gemini,,,
foundation,Wind Osprey,7/13/2015 4:01,7/14/2015 2:00,,Gemini,,,
foundation,Wind Osprey,7/14/2015 3:00,7/14/2015 19:03,,Gemini,,,
foundation,Wind Osprey,7/16/2015 16:00,7/17/2015 15:39,,Gemini,,,
foundation,Wind Osprey,7/17/2015 18:00,7/18/2015 10:30,,Gemini,,,
foundation,Wind Osprey,7/18/2015 22:02,7/19/2015 9:42,,Gemini,,,
foundation,Wind Osprey,7/20/2015 20:23,7/22/2015 5:00,,Gemini,,,
foundation,Wind Osprey,7/22/2015 6:45,7/23/2015 4:30,,Gemini,,,
foundation,Wind Osprey,7/23/2015 8:32,7/24/2015 0:17,,Gemini,,,
foundation,Wind Osprey,7/26/2015 12:04,7/27/2015 14:32,,Gemini,,,
foundation,Wind Osprey,7/27/2015 17:01,7/28/2015 21:00,,Gemini,,,
foundation,Wind Osprey,7/31/2015 4:00,8/1/2015 11:00,,Gemini,,,
foundation,Wind Osprey,8/1/2015 12:04,8/2/2015 10:46,,Gemini,,,
foundation,Wind Osprey,8/2/2015 11:43,8/3/2015 2:04,,Gemini,,,
foundation,Wind Osprey,8/4/2015 15:00,8/5/2015 12:11,,Gemini,,,
foundation,Wind Osprey,8/5/2015 13:00,8/6/2015 7:14,,Gemini,,,
foundation,Wind Osprey,8/6/2015 9:00,8/7/2015 2:18,,Gemini,,,
foundation,Wind Osprey,8/8/2015 11:01,8/9/2015 15:07,,Gemini,,,
foundation,Wind Osprey,8/9/2015 16:00,8/10/2015 8:01,,Gemini,,,
foundation,Wind Osprey,8/10/2015 9:01,8/11/2015 2:31,,Gemini,,,
foundation,Wind Osprey,8/12/2015 13:29,8/13/2015 5:02,,Gemini,,,
foundation,Wind Osprey,8/13/2015 6:03,8/14/2015 8:34,,Gemini,,,
foundation,Wind Osprey,8/14/2015 10:09,8/15/2015 1:00,,Gemini,,,
foundation,Wind Osprey,8/16/2015 10:35,8/17/2015 4:03,,Gemini,,,
foundation,Wind Osprey,8/17/2015 6:00,8/17/2015 22:00,,Gemini,,,
foundation,Wind Osprey,8/17/2015 23:00,8/18/2015 13:51,,Gemini,,,
foundation,Wind Osprey,8/19/2015 22:00,8/20/2015 15:01,,Gemini,,,
foundation,Wind Osprey,8/20/2015 17:00,8/21/2015 12:01,,Gemini,,,
foundation,Wind Osprey,8/21/2015 14:29,8/22/2015 5:02,,Gemini,,,
foundation,Wind Osprey,8/23/2015 14:05,8/24/2015 15:00,,Gemini,,,
foundation,Wind Osprey,8/24/2015 16:00,8/27/2015 5:52,,Gemini,,,
foundation,Wind Osprey,8/27/2015 7:10,8/27/2015 19:13,,Gemini,,,
foundation,Wind Osprey,8/29/2015 3:01,8/29/2015 17:00,,Gemini,,,
foundation,Wind Osprey,8/29/2015 19:03,8/30/2015 9:03,,Gemini,,,
foundation,Wind Osprey,8/30/2015 11:00,8/30/2015 23:02,,Gemini,,,
foundation,Wind Osprey,9/1/2015 10:22,9/4/2015 8:00,,Gemini,,,
foundation,Wind Osprey,9/4/2015 15:20,9/7/2015 9:14,,Gemini,,,
foundation,Wind Osprey,9/7/2015 10:01,9/8/2015 4:00,,Gemini,,,
foundation,Wind Osprey,9/9/2015 9:01,9/10/2015 4:13,,Gemini,,,
foundation,Wind Osprey,9/10/2015 7:03,9/10/2015 22:00,,Gemini,,,
foundation,Wind Osprey,9/11/2015 0:00,9/11/2015 13:00,,Gemini,,,
foundation,Wind Osprey,9/12/2015 16:03,9/13/2015 8:08,,Gemini,,,
foundation,Wind Osprey,9/13/2015 12:07,9/13/2015 23:03,,Gemini,,,
foundation,Wind Osprey,9/14/2015 0:16,9/14/2015 11:54,,Gemini,,,
foundation,Wind Osprey,9/16/2015 2:41,9/16/2015 17:13,,Gemini,,,
